項次,測站代碼,測站中文名稱,縣市,鄉鎮,地址,"經度_WGS84","緯度_WGS84","海拔(橢球高)(m)","測站資料起始時間)",原測站名
49,C2E52,大湖,苗栗縣,大湖鄉,"苗栗縣大湖鄉大寮村5鄰竹高屋34-1號附近",120.8709,24.414939,320,2024/1/8,
50,C2F00,大肚,臺中市,大肚區,"臺中市大肚區瑞井里遊園路一段2號(臺中區監理所內)",120.5721,24.15295,273,2024/1/8,
51,C2E54,後龍,苗栗縣,後龍鎮,苗栗縣後龍鎮後龍溪橋旁高地,120.7839,24.606489,32,2024/1/8,
52,C2F93,大甲,臺中市,大甲區,"臺中市大甲區開元路71號(大甲高級工業職業學校內)",120.6404,24.347667,100,2024/1/8,
53,C2G87,芳苑,彰化縣,芳苑鄉,"彰化縣芳苑鄉仁愛村斗苑路芳苑段211號(芳苑國中)",120.32,23.922303,12,2024/1/8,
54,C2G64,鹿港,彰化縣,鹿港鎮,彰化縣鹿港鎮海埔里顏厝巷67號,120.4305,24.0753,17,2024/1/8,
55,C2O95,安南,臺南市,安南區,"臺南市安南區公學路6段589號(學東國民小學內)",120.1449,23.076694,4,2024/1/8,
56,C2M41,馬頭山,嘉義縣,大埔鄉,嘉義縣大埔鄉永樂村一鄰內灣仔2號,120.582,23.324361,245,2024/1/8,
57,C2O81,曾文,臺南市,楠西區,"臺南市楠西區曾文新村(曾文水庫管理局內)",120.4973,23.219681,161,2024/1/8,
58,C2O93,玉井,臺南市,玉井區,臺南市玉井區台灣糖業公司玉井糖廠,120.4606,23.126042,69,2024/1/8,
59,C2V26,月眉,高雄市,杉林區,"高雄市杉林區月眉里山仙路1號月眉農場(杉林區月眉段2181號)",120.5399,22.971003,126,2024/1/8,
60,C2V25,甲仙,高雄市,甲仙區,"高雄市甲仙區(甲仙國民中學操場後方小山丘上)",120.5918,23.080106,298,2024/1/8,
61,E2H360,蓮華池,南投縣,魚池鄉,五城村華龍巷43號,120.8853,23.918333,681,1990/1/1,
62,E2HA20,林試畢祿溪站,南投縣,仁愛鄉,"台8線公路102KM+200公尺(102.3K左右的畢綠溪入口)",121.3085,24.226944,2188,2019/12/12,
63,E2K600,四湖植物園,雲林縣,四湖鄉,中華路62巷80號,120.1634,23.676986,11,2018/11/21,
64,E2P980,林試六龜中心,高雄市,六龜區,高雄市六龜區中興里中庄198號,120.6457,22.991703,272,2019/12/11,
65,E2P990,林試扇平站,高雄市,茂林區,高雄市茂林區茂林巷125號,120.6857,22.9677,677,2019/12/12,
66,E2S960,林試太麻里2,臺東縣,太麻里鄉,"臺東縣太麻里鄉太麻里街575號旁小路",120.9978,22.598,26,2019/12/12,
67,E2S980,林試太麻里1,臺東縣,太麻里鄉,臺東縣太麻里鄉大王村19鄰橋頭6號,120.98,22.598922,100,2019/12/11,
68,G2F820,農業試驗所,臺中市,霧峰區,萬豐村中正路189號,120.6881,24.031261,90,1989/2/1,
69,G2L020,農試嘉義分所,嘉義市,東區,民權路2號,120.4738,23.485028,79,2007/10/1,嘉義農試
70,G2M350,農試溪口農場,嘉義縣,溪口鄉,"妙崙村下崙路1之20號(靠近柳溝國小)",120.4081,23.58565,26,1990/1/1,溪口農場
71,G2P820,農試鳳山分所,高雄市,鳳山區,文龍東路530號,120.3561,22.646611,37,1990/1/1,鳳山農試
72,K2E360,苗栗農改,苗栗縣,公館鄉,館南村261號,120.8291,24.495722,100,1989/1/1,
73,K2E710,"苗改生物防治研究中心",苗栗縣,大湖鄉,民族路42號,120.8718,24.422861,286,2018/1/9,大湖分場
74,K2F750,種苗繁殖,臺中市,新社區,興中街46號,120.8009,24.225972,470,1990/1/1,
75,U2H480,臺大溪頭,南投縣,鹿谷鄉,內湖村森林巷9號,120.7982,23.670306,1150,1990/1/1,
76,U2HA30,臺大和社,南投縣,信義鄉,同富村同和巷47號,120.8889,23.590856,772,2018/12/5,
77,U2HA40,臺大內茅埔,南投縣,信義鄉,南投縣信義鄉自強村綠美巷13號,120.8511,23.689722,507,2018/12/5,
78,U2HA50,臺大竹山,南投縣,竹山鎮,前山路一段12號,120.6816,23.756972,156,2018/1/1,
79,V2K620,麥寮合作社,雲林縣,麥寮鄉,"雲林縣麥寮鄉山寮段271,272號",120.2948,23.753836,9,2019/7/22,
